file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0011_babble_snr5dB.wav,5.0,spectral_subtraction,1.0,0.7907,1212.83
6930-75918-0015_babble_snr20dB.wav,20.0,none,0.2941,0.0854,1884.06
6930-75918-0015_babble_snr20dB.wav,20.0,wiener,0.2941,0.0854,1826.85
6930-75918-0015_babble_snr20dB.wav,20.0,spectral_subtraction,0.2941,0.0854,1907.6
6930-75918-0015_babble_snr10dB.wav,10.0,none,0.2941,0.0854,1770.32
6930-75918-0015_babble_snr10dB.wav,10.0,wiener,0.2941,0.0854,1823.41
6930-75918-0015_babble_snr10dB.wav,10.0,spectral_subtraction,0.3529,0.1585,1863.84
6930-75918-0015_babble_snr5dB.wav,5.0,none,0.4118,0.1951,1779.3
6930-75918-0015_babble_snr5dB.wav,5.0,wiener,0.4706,0.2561,1819.61
6930-75918-0015_babble_snr5dB.wav,5.0,spectral_subtraction,0.4706,0.3659,1554.52
6930-75918-0003_babble_snr20dB.wav,20.0,none,0.125,0.0227,4705.93
6930-75918-0003_babble_snr20dB.wav,20.0,wiener,0.125,0.0283,4726.94
6930-75918-0003_babble_snr20dB.wav,20.0,spectral_subtraction,0.1406,0.0255,4752.2
6930-75918-0003_babble_snr10dB.wav,10.0,none,0.125,0.034,4862.51
6930-75918-0003_babble_snr10dB.wav,10.0,wiener,0.125,0.0453,4777.19
6930-75918-0003_babble_snr10dB.wav,10.0,spectral_subtraction,0.25,0.1246,4640.03
6930-75918-0003_babble_snr5dB.wav,5.0,none,0.2344,0.0992,4390.17
6930-75918-0003_babble_snr5dB.wav,5.0,wiener,0.3125,0.1586,4854.46
6930-75918-0003_babble_snr5dB.wav,5.0,spectral_subtraction,0.3906,0.2266,4656.46
6930-75918-0010_babble_snr20dB.wav,20.0,none,0.1667,0.0294,1152.42
6930-75918-0010_babble_snr20dB.wav,20.0,wiener,0.1667,0.0294,1304.71
6930-75918-0010_babble_snr20dB.wav,20.0,spectral_subtraction,0.8333,0.5588,1426.61
6930-75918-0010_babble_snr10dB.wav,10.0,none,0.1667,0.0294,1235.79
6930-75918-0010_babble_snr10dB.wav,10.0,wiener,0.3333,0.1765,1244.25
6930-75918-0010_babble_snr10dB.wav,10.0,spectral_subtraction,0.8333,0.4706,1359.76
6930-75918-0010_babble_snr5dB.wav,5.0,none,59.3333,54.1176,24898.14
6930-75918-0010_babble_snr5dB.wav,5.0,wiener,30.6667,27.5882,14965.04
6930-75918-0010_babble_snr5dB.wav,5.0,spectral_subtraction,49.1667,44.8235,27986.56
6930-75918-0001_babble_snr20dB.wav,20.0,none,0.1163,0.0391,5022.19
6930-75918-0001_babble_snr20dB.wav,20.0,wiener,0.093,0.0348,2962.91
6930-75918-0001_babble_snr20dB.wav,20.0,spectral_subtraction,0.1163,0.0435,3320.99
6930-75918-0001_babble_snr10dB.wav,10.0,none,0.1628,0.0783,3216.62
6930-75918-0001_babble_snr10dB.wav,10.0,wiener,0.186,0.0957,3220.74
6930-75918-0001_babble_snr10dB.wav,10.0,spectral_subtraction,0.2093,0.1217,3405.62
6930-75918-0001_babble_snr5dB.wav,5.0,none,0.2558,0.1652,9243.98
6930-75918-0001_babble_snr5dB.wav,5.0,wiener,0.186,0.1174,5597.78
6930-75918-0001_babble_snr5dB.wav,5.0,spectral_subtraction,0.4419,0.2696,3459.41
6930-75918-0018_babble_snr20dB.wav,20.0,none,0.1923,0.0321,2385.78
6930-75918-0018_babble_snr20dB.wav,20.0,wiener,0.1538,0.0256,2450.92
6930-75918-0018_babble_snr20dB.wav,20.0,spectral_subtraction,0.1923,0.0321,2554.12
6930-75918-0018_babble_snr10dB.wav,10.0,none,0.1923,0.0321,2327.82
6930-75918-0018_babble_snr10dB.wav,10.0,wiener,0.2692,0.0577,4179.11
6930-75918-0018_babble_snr10dB.wav,10.0,spectral_subtraction,0.2692,0.0897,2292.46
6930-75918-0018_babble_snr5dB.wav,5.0,none,0.3462,0.1731,2275.95
6930-75918-0018_babble_snr5dB.wav,5.0,wiener,0.6923,0.3526,2329.08
6930-75918-0018_babble_snr5dB.wav,5.0,spectral_subtraction,0.6923,0.4808,3900.76
6930-75918-0008_babble_snr20dB.wav,20.0,none,0.1818,0.05,1401.93
6930-75918-0008_babble_snr20dB.wav,20.0,wiener,0.0909,0.0167,1364.43
6930-75918-0008_babble_snr20dB.wav,20.0,spectral_subtraction,0.0909,0.0167,3703.71
6930-75918-0008_babble_snr10dB.wav,10.0,none,0.1818,0.05,1287.67
6930-75918-0008_babble_snr10dB.wav,10.0,wiener,0.0909,0.0167,1336.64
6930-75918-0008_babble_snr10dB.wav,10.0,spectral_subtraction,0.3636,0.1167,1379.75
