file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0011_pink_snr5dB.wav,5.0,spectral_subtraction,0.2,0.093,983.28
6930-75918-0015_pink_snr20dB.wav,20.0,none,0.2941,0.0854,1453.48
6930-75918-0015_pink_snr20dB.wav,20.0,wiener,0.2941,0.0854,1389.5
6930-75918-0015_pink_snr20dB.wav,20.0,spectral_subtraction,0.3529,0.1463,1483.67
6930-75918-0015_pink_snr10dB.wav,10.0,none,0.2941,0.0854,1447.55
6930-75918-0015_pink_snr10dB.wav,10.0,wiener,0.2941,0.0854,3184.25
6930-75918-0015_pink_snr10dB.wav,10.0,spectral_subtraction,0.3529,0.2073,1395.92
6930-75918-0015_pink_snr5dB.wav,5.0,none,0.2941,0.0854,5700.86
6930-75918-0015_pink_snr5dB.wav,5.0,wiener,0.2941,0.0854,6638.92
6930-75918-0015_pink_snr5dB.wav,5.0,spectral_subtraction,0.6471,0.439,2542.1
6930-75918-0003_pink_snr20dB.wav,20.0,none,0.1406,0.0255,6583.85
6930-75918-0003_pink_snr20dB.wav,20.0,wiener,0.125,0.0227,6374.79
6930-75918-0003_pink_snr20dB.wav,20.0,spectral_subtraction,0.1406,0.0255,6425.82
6930-75918-0003_pink_snr10dB.wav,10.0,none,0.125,0.0227,4779.4
6930-75918-0003_pink_snr10dB.wav,10.0,wiener,0.1562,0.0368,6208.3
6930-75918-0003_pink_snr10dB.wav,10.0,spectral_subtraction,0.25,0.0708,6409.13
6930-75918-0003_pink_snr5dB.wav,5.0,none,0.1875,0.0397,6361.9
6930-75918-0003_pink_snr5dB.wav,5.0,wiener,0.1562,0.0623,6772.82
6930-75918-0003_pink_snr5dB.wav,5.0,spectral_subtraction,0.4688,0.2918,6657.28
6930-75918-0010_pink_snr20dB.wav,20.0,none,0.1667,0.0294,1485.31
6930-75918-0010_pink_snr20dB.wav,20.0,wiener,0.1667,0.0294,1455.7
6930-75918-0010_pink_snr20dB.wav,20.0,spectral_subtraction,0.8333,0.5,1679.98
6930-75918-0010_pink_snr10dB.wav,10.0,none,0.1667,0.0294,1468.63
6930-75918-0010_pink_snr10dB.wav,10.0,wiener,0.1667,0.0294,1522.59
6930-75918-0010_pink_snr10dB.wav,10.0,spectral_subtraction,0.8333,0.5588,1762.24
6930-75918-0010_pink_snr5dB.wav,5.0,none,0.1667,0.0294,1565.56
6930-75918-0010_pink_snr5dB.wav,5.0,wiener,0.8333,0.5,1591.42
6930-75918-0010_pink_snr5dB.wav,5.0,spectral_subtraction,1.0,0.8235,1864.62
6930-75918-0001_pink_snr20dB.wav,20.0,none,0.1163,0.0391,4530.35
6930-75918-0001_pink_snr20dB.wav,20.0,wiener,0.1163,0.0478,4581.53
6930-75918-0001_pink_snr20dB.wav,20.0,spectral_subtraction,0.1163,0.0435,4742.99
6930-75918-0001_pink_snr10dB.wav,10.0,none,0.1628,0.0783,4379.82
6930-75918-0001_pink_snr10dB.wav,10.0,wiener,0.1395,0.0522,4713.53
6930-75918-0001_pink_snr10dB.wav,10.0,spectral_subtraction,0.2558,0.1435,4365.8
6930-75918-0001_pink_snr5dB.wav,5.0,none,0.1628,0.0783,4599.41
6930-75918-0001_pink_snr5dB.wav,5.0,wiener,0.3023,0.1391,3970.8
6930-75918-0001_pink_snr5dB.wav,5.0,spectral_subtraction,0.3488,0.2087,2517.25
6930-75918-0018_pink_snr20dB.wav,20.0,none,0.1923,0.0321,3075.57
6930-75918-0018_pink_snr20dB.wav,20.0,wiener,0.1923,0.0321,4298.85
6930-75918-0018_pink_snr20dB.wav,20.0,spectral_subtraction,0.2308,0.0449,3901.46
6930-75918-0018_pink_snr10dB.wav,10.0,none,0.1923,0.0321,4935.8
6930-75918-0018_pink_snr10dB.wav,10.0,wiener,0.3077,0.0641,3376.38
6930-75918-0018_pink_snr10dB.wav,10.0,spectral_subtraction,0.3077,0.1026,3286.41
6930-75918-0018_pink_snr5dB.wav,5.0,none,0.2692,0.0513,3427.12
6930-75918-0018_pink_snr5dB.wav,5.0,wiener,0.4231,0.1603,3524.25
6930-75918-0018_pink_snr5dB.wav,5.0,spectral_subtraction,0.5385,0.25,3487.59
6930-75918-0008_pink_snr20dB.wav,20.0,none,0.0909,0.0167,2037.2
6930-75918-0008_pink_snr20dB.wav,20.0,wiener,0.0909,0.0167,2003.21
6930-75918-0008_pink_snr20dB.wav,20.0,spectral_subtraction,0.1818,0.0333,1979.32
6930-75918-0008_pink_snr10dB.wav,10.0,none,0.0909,0.0167,2056.28
