file_name,snr_db,method,wer,latency_ms
6930-75918-0003_snr5dB.wav,5.0,none,0.1719,12446.52
6930-75918-0003_snr5dB.wav,5.0,wiener,0.1719,12213.06
6930-75918-0003_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0010_snr20dB.wav,20.0,none,0.1667,2940.41
6930-75918-0010_snr20dB.wav,20.0,wiener,0.1667,2852.93
6930-75918-0010_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0010_snr10dB.wav,10.0,none,0.1667,2801.81
6930-75918-0010_snr10dB.wav,10.0,wiener,0.3333,2955.32
6930-75918-0010_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0010_snr5dB.wav,5.0,none,0.6667,3195.46
6930-75918-0010_snr5dB.wav,5.0,wiener,0.1667,3471.17
6930-75918-0010_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0001_snr20dB.wav,20.0,none,0.1163,4901.59
6930-75918-0001_snr20dB.wav,20.0,wiener,0.1163,4223.53
6930-75918-0001_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0001_snr10dB.wav,10.0,none,0.1628,3273.32
6930-75918-0001_snr10dB.wav,10.0,wiener,0.1395,4014.38
6930-75918-0001_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0001_snr5dB.wav,5.0,none,0.1395,4156.35
6930-75918-0001_snr5dB.wav,5.0,wiener,0.1628,4016.69
6930-75918-0001_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0018_snr20dB.wav,20.0,none,0.1923,3044.71
6930-75918-0018_snr20dB.wav,20.0,wiener,0.1538,2967.1
6930-75918-0018_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0018_snr10dB.wav,10.0,none,0.1538,2506.46
6930-75918-0018_snr10dB.wav,10.0,wiener,0.1923,2271.5
6930-75918-0018_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0018_snr5dB.wav,5.0,none,0.3077,2225.04
6930-75918-0018_snr5dB.wav,5.0,wiener,0.3462,2498.71
6930-75918-0018_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0008_snr20dB.wav,20.0,none,0.1818,1364.16
6930-75918-0008_snr20dB.wav,20.0,wiener,0.1818,1404.76
6930-75918-0008_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0008_snr10dB.wav,10.0,none,0.0909,1554.55
6930-75918-0008_snr10dB.wav,10.0,wiener,0.1818,1561.34
6930-75918-0008_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0008_snr5dB.wav,5.0,none,0.0909,1614.69
6930-75918-0008_snr5dB.wav,5.0,wiener,0.0909,1467.73
6930-75918-0008_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0017_snr20dB.wav,20.0,none,0.1875,1968.02
6930-75918-0017_snr20dB.wav,20.0,wiener,0.1875,1613.79
6930-75918-0017_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0017_snr10dB.wav,10.0,none,0.1875,1673.2
6930-75918-0017_snr10dB.wav,10.0,wiener,0.1875,2013.24
6930-75918-0017_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0017_snr5dB.wav,5.0,none,0.1875,1568.07
6930-75918-0017_snr5dB.wav,5.0,wiener,0.1875,1700.9
6930-75918-0017_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0016_snr20dB.wav,20.0,none,0.2759,2665.11
6930-75918-0016_snr20dB.wav,20.0,wiener,0.2759,2403.33
6930-75918-0016_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0016_snr10dB.wav,10.0,none,0.2759,2233.68
6930-75918-0016_snr10dB.wav,10.0,wiener,0.2414,2634.45
6930-75918-0016_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0016_snr5dB.wav,5.0,none,0.2414,2910.91
6930-75918-0016_snr5dB.wav,5.0,wiener,0.2759,2862.62
6930-75918-0016_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0013_snr20dB.wav,20.0,none,0.25,1511.97
6930-75918-0013_snr20dB.wav,20.0,wiener,0.25,1507.18
6930-75918-0013_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0013_snr10dB.wav,10.0,none,0.25,1442.1
6930-75918-0013_snr10dB.wav,10.0,wiener,0.375,1524.06
6930-75918-0013_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0013_snr5dB.wav,5.0,none,0.375,1600.89
6930-75918-0013_snr5dB.wav,5.0,wiener,0.25,1471.59
6930-75918-0013_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0019_snr20dB.wav,20.0,none,0.1613,3601.16
6930-75918-0019_snr20dB.wav,20.0,wiener,0.1935,3152.64
6930-75918-0019_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0019_snr10dB.wav,10.0,none,0.1935,3260.8
6930-75918-0019_snr10dB.wav,10.0,wiener,0.1935,3260.93
6930-75918-0019_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0019_snr5dB.wav,5.0,none,0.2903,3351.92
6930-75918-0019_snr5dB.wav,5.0,wiener,0.2581,2199.86
6930-75918-0019_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0014_snr20dB.wav,20.0,none,0.1628,2684.02
6930-75918-0014_snr20dB.wav,20.0,wiener,0.2326,2636.86
