file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0011_urban_snr5dB.wav,5.0,spectral_subtraction,0.6,0.3488,1071.01
6930-75918-0015_urban_snr20dB.wav,20.0,none,0.2941,0.0854,1422.81
6930-75918-0015_urban_snr20dB.wav,20.0,wiener,0.2941,0.0854,1449.5
6930-75918-0015_urban_snr20dB.wav,20.0,spectral_subtraction,0.3529,0.1463,1464.39
6930-75918-0015_urban_snr10dB.wav,10.0,none,0.2941,0.0854,1450.46
6930-75918-0015_urban_snr10dB.wav,10.0,wiener,0.2941,0.0854,1434.46
6930-75918-0015_urban_snr10dB.wav,10.0,spectral_subtraction,0.4118,0.1951,1447.49
6930-75918-0015_urban_snr5dB.wav,5.0,none,0.4118,0.1463,1430.84
6930-75918-0015_urban_snr5dB.wav,5.0,wiener,0.2941,0.1341,1383.32
6930-75918-0015_urban_snr5dB.wav,5.0,spectral_subtraction,0.6471,0.439,1212.74
6930-75918-0003_urban_snr20dB.wav,20.0,none,0.1406,0.0255,3905.75
6930-75918-0003_urban_snr20dB.wav,20.0,wiener,0.125,0.0227,3816.21
6930-75918-0003_urban_snr20dB.wav,20.0,spectral_subtraction,0.1406,0.0255,3662.84
6930-75918-0003_urban_snr10dB.wav,10.0,none,0.1406,0.0255,3716.02
6930-75918-0003_urban_snr10dB.wav,10.0,wiener,0.125,0.0227,3693.08
6930-75918-0003_urban_snr10dB.wav,10.0,spectral_subtraction,0.2344,0.0765,3809.63
6930-75918-0003_urban_snr5dB.wav,5.0,none,0.1094,0.0198,3778.15
6930-75918-0003_urban_snr5dB.wav,5.0,wiener,0.1719,0.0397,3900.6
6930-75918-0003_urban_snr5dB.wav,5.0,spectral_subtraction,0.2656,0.0992,3705.75
6930-75918-0010_urban_snr20dB.wav,20.0,none,0.1667,0.0294,934.19
6930-75918-0010_urban_snr20dB.wav,20.0,wiener,0.1667,0.0294,880.68
6930-75918-0010_urban_snr20dB.wav,20.0,spectral_subtraction,0.8333,0.5588,991.56
6930-75918-0010_urban_snr10dB.wav,10.0,none,0.1667,0.0294,950.92
6930-75918-0010_urban_snr10dB.wav,10.0,wiener,0.1667,0.0294,937.87
6930-75918-0010_urban_snr10dB.wav,10.0,spectral_subtraction,0.5,0.4412,1088.52
6930-75918-0010_urban_snr5dB.wav,5.0,none,0.5,0.1471,995.09
6930-75918-0010_urban_snr5dB.wav,5.0,wiener,0.6667,0.3235,991.35
6930-75918-0010_urban_snr5dB.wav,5.0,spectral_subtraction,1.6667,1.0882,1060.36
6930-75918-0001_urban_snr20dB.wav,20.0,none,0.1163,0.0391,2768.32
6930-75918-0001_urban_snr20dB.wav,20.0,wiener,0.1395,0.0522,2641.01
6930-75918-0001_urban_snr20dB.wav,20.0,spectral_subtraction,0.1163,0.0435,2715.31
6930-75918-0001_urban_snr10dB.wav,10.0,none,0.1395,0.0522,2996.34
6930-75918-0001_urban_snr10dB.wav,10.0,wiener,0.1628,0.0652,2633.47
6930-75918-0001_urban_snr10dB.wav,10.0,spectral_subtraction,0.2093,0.0957,2992.92
6930-75918-0001_urban_snr5dB.wav,5.0,none,0.1628,0.0826,2682.54
6930-75918-0001_urban_snr5dB.wav,5.0,wiener,0.2093,0.1348,2475.98
6930-75918-0001_urban_snr5dB.wav,5.0,spectral_subtraction,0.4419,0.2565,2591.16
6930-75918-0018_urban_snr20dB.wav,20.0,none,0.1923,0.0321,2038.44
6930-75918-0018_urban_snr20dB.wav,20.0,wiener,0.1923,0.0321,2060.71
6930-75918-0018_urban_snr20dB.wav,20.0,spectral_subtraction,0.1923,0.0321,2085.58
6930-75918-0018_urban_snr10dB.wav,10.0,none,0.1923,0.0449,2156.06
6930-75918-0018_urban_snr10dB.wav,10.0,wiener,0.3077,0.0833,1999.36
6930-75918-0018_urban_snr10dB.wav,10.0,spectral_subtraction,0.4231,0.1603,2099.97
6930-75918-0018_urban_snr5dB.wav,5.0,none,0.1538,0.0256,2075.57
6930-75918-0018_urban_snr5dB.wav,5.0,wiener,0.3077,0.0769,2013.62
6930-75918-0018_urban_snr5dB.wav,5.0,spectral_subtraction,0.4231,0.1538,2133.55
6930-75918-0008_urban_snr20dB.wav,20.0,none,0.0909,0.0167,1246.77
6930-75918-0008_urban_snr20dB.wav,20.0,wiener,0.0909,0.0167,1288.35
6930-75918-0008_urban_snr20dB.wav,20.0,spectral_subtraction,0.0909,0.0167,1292.34
6930-75918-0008_urban_snr10dB.wav,10.0,none,0.1818,0.0333,1266.12
6930-75918-0008_urban_snr10dB.wav,10.0,wiener,0.1818,0.0333,1336.66
6930-75918-0008_urban_snr10dB.wav,10.0,spectral_subtraction,0.1818,0.0333,1239.99
6930-75918-0008_urban_snr5dB.wav,5.0,none,0.1818,0.0333,1226.92
6930-75918-0008_urban_snr5dB.wav,5.0,wiener,0.1818,0.0333,1247.0
6930-75918-0008_urban_snr5dB.wav,5.0,spectral_subtraction,0.1818,0.0333,1255.18
6930-75918-0017_urban_snr20dB.wav,20.0,none,0.1875,0.0404,1438.35
6930-75918-0017_urban_snr20dB.wav,20.0,wiener,0.1875,0.0404,1470.86
6930-75918-0017_urban_snr20dB.wav,20.0,spectral_subtraction,0.1875,0.0404,1472.51
6930-75918-0017_urban_snr10dB.wav,10.0,none,0.1875,0.0404,1439.49
6930-75918-0017_urban_snr10dB.wav,10.0,wiener,0.1875,0.0404,1489.88
6930-75918-0017_urban_snr10dB.wav,10.0,spectral_subtraction,0.25,0.0808,1528.04
6930-75918-0017_urban_snr5dB.wav,5.0,none,0.1875,0.0303,1505.88
