file,duration_s,asr_latency_s,asr_peak_ram_mb,sentiment_latency_s,sentiment_peak_ram_mb,ser_latency_s,ser_peak_ram_mb,total_latency_s,real_time_factor
03-01-01-01-01-01-01.wav,3.3,1.095,7.55,0.1946,0.02,0.7478,0.61,2.0374,0.62
03-01-01-01-01-02-01.wav,3.34,0.6708,7.54,0.0221,0.01,0.1957,0.61,0.8886,0.27
03-01-01-01-02-01-01.wav,3.27,0.746,7.53,0.0493,0.01,0.1902,0.6,0.9855,0.3
